country_id,year,sitc_eci,hs_eci,growth_proj,sitc_eci_rank,hs_eci_rank
729,1981,,0,,,72
748,1981,,0,,,72
752,1981,,0,,,72
756,1981,,0,,,72
762,1981,,0,,,72
764,1981,,0,,,72
768,1981,,0,,,72
780,1981,,0,,,72
784,1981,,0,,,72
788,1981,,0,,,72
792,1981,,0,,,72
795,1981,,0,,,72
800,1981,,0,,,72
804,1981,,0,,,72
807,1981,,0,,,72
818,1981,,0,,,72
826,1981,,0,,,72
834,1981,,0,,,72
840,1981,,0,,,72
854,1981,,0,,,72
858,1981,,0,,,72
860,1981,,0,,,72
862,1981,,0,,,72
887,1981,,0,,,72
894,1981,,0,,,72
4,1982,,0,,,72
8,1982,,0,,,72
12,1982,,0,,,72
24,1982,,0,,,72
31,1982,,0,,,72
32,1982,,0,,,72
36,1982,,0,,,72
40,1982,,0,,,72
48,1982,,0,,,72
50,1982,,0,,,72
51,1982,,0,,,72
56,1982,,0,,,72
68,1982,,0,,,72
70,1982,,0,,,72
72,1982,,0,,,72
76,1982,,0,,,72
100,1982,,0,,,72
104,1982,,0,,,72
112,1982,,0,,,72
116,1982,,0,,,72
120,1982,,0,,,72
124,1982,,0,,,72
144,1982,,0,,,72
148,1982,,0,,,72
152,1982,,0,,,72
156,1982,,0,,,72
170,1982,,0,,,72
178,1982,,0,,,72
180,1982,,0,,,72
188,1982,,0,,,72
191,1982,,0,,,72
192,1982,,0,,,72
196,1982,,0,,,72
203,1982,,0,,,72
204,1982,,0,,,72
208,1982,,0,,,72
214,1982,,0,,,72
218,1982,,0,,,72
222,1982,,0,,,72
226,1982,,0,,,72
231,1982,,0,,,72
233,1982,,0,,,72
246,1982,,0,,,72
250,1982,,0,,,72
266,1982,,0,,,72
268,1982,,0,,,72
276,1982,,0,,,72
288,1982,,0,,,72
300,1982,,0,,,72
320,1982,,0,,,72
324,1982,,0,,,72
332,1982,,0,,,72
340,1982,,0,,,72
344,1982,,0,,,72
348,1982,,0,,,72
356,1982,,0,,,72
360,1982,,0,,,72
364,1982,,0,,,72
368,1982,,0,,,72
372,1982,,0,,,72
376,1982,,0,,,72
380,1982,,0,,,72
384,1982,,0,,,72
388,1982,,0,,,72
392,1982,,0,,,72
398,1982,,0,,,72
400,1982,,0,,,72
404,1982,,0,,,72
410,1982,,0,,,72
414,1982,,0,,,72
417,1982,,0,,,72
418,1982,,0,,,72
422,1982,,0,,,72
428,1982,,0,,,72
430,1982,,0,,,72
434,1982,,0,,,72
440,1982,,0,,,72
450,1982,,0,,,72
454,1982,,0,,,72
458,1982,,0,,,72
466,1982,,0,,,72
478,1982,,0,,,72
480,1982,,0,,,72
484,1982,,0,,,72
496,1982,,0,,,72
498,1982,,0,,,72
504,1982,,0,,,72
508,1982,,0,,,72
512,1982,,0,,,72
516,1982,,0,,,72
524,1982,,0,,,72
528,1982,,0,,,72
554,1982,,0,,,72
558,1982,,0,,,72
562,1982,,0,,,72
566,1982,,0,,,72
578,1982,,0,,,72
586,1982,,0,,,72
591,1982,,0,,,72
598,1982,,0,,,72
600,1982,,0,,,72
604,1982,,0,,,72
608,1982,,0,,,72
616,1982,,0,,,72
620,1982,,0,,,72
634,1982,,0,,,72
642,1982,,0,,,72
643,1982,,0,,,72
646,1982,,0,,,72
682,1982,,0,,,72
686,1982,,0,,,72
688,1982,,0,,,72
702,1982,,0,,,72
703,1982,,0,,,72
704,1982,,0,,,72
705,1982,,0,,,72
710,1982,,0,,,72
716,1982,,0,,,72
724,1982,,0,,,72
729,1982,,0,,,72
748,1982,,0,,,72
752,1982,,0,,,72
756,1982,,0,,,72
762,1982,,0,,,72
764,1982,,0,,,72
768,1982,,0,,,72
780,1982,,0,,,72
784,1982,,0,,,72
788,1982,,0,,,72
792,1982,,0,,,72
795,1982,,0,,,72
800,1982,,0,,,72
804,1982,,0,,,72
807,1982,,0,,,72
818,1982,,0,,,72
826,1982,,0,,,72
834,1982,,0,,,72
840,1982,,0,,,72
854,1982,,0,,,72
858,1982,,0,,,72
860,1982,,0,,,72
862,1982,,0,,,72
887,1982,,0,,,72
894,1982,,0,,,72
4,1983,,0,,,72
8,1983,,0,,,72
12,1983,,0,,,72
24,1983,,0,,,72
31,1983,,0,,,72
32,1983,,0,,,72
36,1983,,0,,,72
40,1983,,0,,,72
48,1983,,0,,,72
50,1983,,0,,,72
51,1983,,0,,,72
56,1983,,0,,,72
68,1983,,0,,,72
70,1983,,0,,,72
72,1983,,0,,,72
76,1983,,0,,,72
100,1983,,0,,,72
104,1983,,0,,,72
112,1983,,0,,,72
116,1983,,0,,,72
120,1983,,0,,,72
124,1983,,0,,,72
144,1983,,0,,,72
148,1983,,0,,,72
152,1983,,0,,,72
156,1983,,0,,,72
170,1983,,0,,,72
178,1983,,0,,,72
180,1983,,0,,,72
188,1983,,0,,,72
191,1983,,0,,,72
192,1983,,0,,,72
196,1983,,0,,,72
203,1983,,0,,,72
204,1983,,0,,,72
208,1983,,0,,,72
214,1983,,0,,,72
218,1983,,0,,,72
222,1983,,0,,,72
226,1983,,0,,,72
231,1983,,0,,,72
233,1983,,0,,,72
246,1983,,0,,,72
250,1983,,0,,,72
266,1983,,0,,,72
268,1983,,0,,,72
276,1983,,0,,,72
288,1983,,0,,,72
300,1983,,0,,,72
320,1983,,0,,,72
324,1983,,0,,,72
332,1983,,0,,,72
340,1983,,0,,,72
344,1983,,0,,,72
348,1983,,0,,,72
356,1983,,0,,,72
360,1983,,0,,,72
364,1983,,0,,,72
368,1983,,0,,,72
372,1983,,0,,,72
376,1983,,0,,,72
380,1983,,0,,,72
384,1983,,0,,,72
388,1983,,0,,,72
392,1983,,0,,,72
398,1983,,0,,,72
400,1983,,0,,,72
404,1983,,0,,,72
410,1983,,0,,,72
414,1983,,0,,,72
417,1983,,0,,,72
418,1983,,0,,,72
422,1983,,0,,,72
428,1983,,0,,,72
430,1983,,0,,,72
434,1983,,0,,,72
440,1983,,0,,,72
450,1983,,0,,,72
454,1983,,0,,,72
458,1983,,0,,,72
466,1983,,0,,,72
478,1983,,0,,,72
480,1983,,0,,,72
484,1983,,0,,,72
496,1983,,0,,,72
498,1983,,0,,,72
504,1983,,0,,,72
508,1983,,0,,,72
512,1983,,0,,,72
516,1983,,0,,,72
524,1983,,0,,,72
528,1983,,0,,,72
554,1983,,0,,,72
558,1983,,0,,,72
562,1983,,0,,,72
566,1983,,0,,,72
578,1983,,0,,,72
586,1983,,0,,,72
591,1983,,0,,,72
598,1983,,0,,,72
600,1983,,0,,,72
604,1983,,0,,,72
608,1983,,0,,,72
616,1983,,0,,,72
620,1983,,0,,,72
634,1983,,0,,,72
642,1983,,0,,,72
643,1983,,0,,,72
646,1983,,0,,,72
682,1983,,0,,,72
686,1983,,0,,,72
688,1983,,0,,,72
702,1983,,0,,,72
703,1983,,0,,,72
704,1983,,0,,,72
705,1983,,0,,,72
710,1983,,0,,,72
716,1983,,0,,,72
724,1983,,0,,,72
729,1983,,0,,,72
748,1983,,0,,,72
752,1983,,0,,,72
756,1983,,0,,,72
762,1983,,0,,,72
764,1983,,0,,,72
768,1983,,0,,,72
780,1983,,0,,,72
784,1983,,0,,,72
788,1983,,0,,,72
792,1983,,0,,,72
795,1983,,0,,,72
800,1983,,0,,,72
804,1983,,0,,,72
807,1983,,0,,,72
818,1983,,0,,,72
826,1983,,0,,,72
834,1983,,0,,,72
840,1983,,0,,,72
854,1983,,0,,,72
858,1983,,0,,,72
860,1983,,0,,,72
862,1983,,0,,,72
887,1983,,0,,,72
894,1983,,0,,,72
4,1984,,0,,,72
8,1984,,0,,,72
12,1984,,0,,,72
24,1984,,0,,,72
31,1984,,0,,,72
32,1984,,0,,,72
36,1984,,0,,,72
40,1984,,0,,,72
48,1984,,0,,,72
50,1984,,0,,,72
51,1984,,0,,,72
56,1984,,0,,,72
68,1984,,0,,,72
70,1984,,0,,,72
72,1984,,0,,,72
76,1984,,0,,,72
100,1984,,0,,,72
104,1984,,0,,,72
112,1984,,0,,,72
116,1984,,0,,,72
120,1984,,0,,,72
124,1984,,0,,,72
144,1984,,0,,,72
148,1984,,0,,,72
152,1984,,0,,,72
156,1984,,0,,,72
170,1984,,0,,,72
178,1984,,0,,,72
180,1984,,0,,,72
188,1984,,0,,,72
191,1984,,0,,,72
192,1984,,0,,,72
196,1984,,0,,,72
203,1984,,0,,,72
204,1984,,0,,,72
208,1984,,0,,,72
214,1984,,0,,,72
218,1984,,0,,,72
222,1984,,0,,,72
226,1984,,0,,,72
231,1984,,0,,,72
233,1984,,0,,,72
246,1984,,0,,,72
250,1984,,0,,,72
266,1984,,0,,,72
268,1984,,0,,,72
276,1984,,0,,,72
288,1984,,0,,,72
300,1984,,0,,,72
320,1984,,0,,,72
324,1984,,0,,,72
332,1984,,0,,,72
340,1984,,0,,,72
344,1984,,0,,,72
348,1984,,0,,,72
356,1984,,0,,,72
360,1984,,0,,,72
364,1984,,0,,,72
368,1984,,0,,,72
372,1984,,0,,,72
376,1984,,0,,,72
380,1984,,0,,,72
384,1984,,0,,,72
388,1984,,0,,,72
392,1984,,0,,,72
398,1984,,0,,,72
400,1984,,0,,,72
404,1984,,0,,,72
410,1984,,0,,,72
414,1984,,0,,,72
417,1984,,0,,,72
418,1984,,0,,,72
422,1984,,0,,,72
428,1984,,0,,,72
430,1984,,0,,,72
434,1984,,0,,,72
440,1984,,0,,,72
450,1984,,0,,,72
454,1984,,0,,,72
458,1984,,0,,,72
466,1984,,0,,,72
478,1984,,0,,,72
480,1984,,0,,,72
484,1984,,0,,,72
496,1984,,0,,,72
498,1984,,0,,,72
504,1984,,0,,,72
508,1984,,0,,,72
512,1984,,0,,,72
516,1984,,0,,,72
524,1984,,0,,,72
528,1984,,0,,,72
554,1984,,0,,,72
558,1984,,0,,,72
562,1984,,0,,,72
566,1984,,0,,,72
578,1984,,0,,,72
586,1984,,0,,,72
591,1984,,0,,,72
598,1984,,0,,,72
600,1984,,0,,,72
604,1984,,0,,,72
608,1984,,0,,,72
616,1984,,0,,,72
620,1984,,0,,,72
634,1984,,0,,,72
642,1984,,0,,,72
643,1984,,0,,,72
646,1984,,0,,,72
682,1984,,0,,,72
686,1984,,0,,,72
688,1984,,0,,,72
702,1984,,0,,,72
703,1984,,0,,,72
704,1984,,0,,,72
705,1984,,0,,,72
710,1984,,0,,,72
716,1984,,0,,,72
724,1984,,0,,,72
729,1984,,0,,,72
748,1984,,0,,,72
752,1984,,0,,,72
756,1984,,0,,,72
762,1984,,0,,,72
764,1984,,0,,,72
768,1984,,0,,,72
780,1984,,0,,,72
784,1984,,0,,,72
788,1984,,0,,,72
792,1984,,0,,,72
795,1984,,0,,,72
800,1984,,0,,,72
804,1984,,0,,,72
807,1984,,0,,,72
818,1984,,0,,,72
826,1984,,0,,,72
834,1984,,0,,,72
840,1984,,0,,,72
854,1984,,0,,,72
858,1984,,0,,,72
860,1984,,0,,,72
862,1984,,0,,,72
887,1984,,0,,,72
894,1984,,0,,,72
4,1985,,0,,,72
8,1985,,0,,,72
12,1985,,0,,,72
24,1985,,0,,,72
31,1985,,0,,,72
32,1985,,0,,,72
36,1985,,0,,,72
40,1985,,0,,,72
48,1985,,0,,,72
50,1985,,0,,,72
51,1985,,0,,,72
56,1985,,0,,,72
68,1985,,0,,,72
70,1985,,0,,,72
72,1985,,0,,,72
76,1985,,0,,,72
100,1985,,0,,,72
104,1985,,0,,,72
112,1985,,0,,,72
116,1985,,0,,,72
120,1985,,0,,,72
124,1985,,0,,,72
144,1985,,0,,,72
148,1985,,0,,,72
152,1985,,0,,,72
156,1985,,0,,,72
170,1985,,0,,,72
178,1985,,0,,,72
180,1985,,0,,,72
188,1985,,0,,,72
191,1985,,0,,,72
192,1985,,0,,,72
196,1985,,0,,,72
203,1985,,0,,,72
204,1985,,0,,,72
208,1985,,0,,,72
214,1985,,0,,,72
218,1985,,0,,,72
222,1985,,0,,,72
226,1985,,0,,,72
231,1985,,0,,,72
233,1985,,0,,,72
246,1985,,0,,,72
250,1985,,0,,,72
266,1985,,0,,,72
268,1985,,0,,,72
276,1985,,0,,,72
288,1985,,0,,,72
300,1985,,0,,,72
320,1985,,0,,,72
324,1985,,0,,,72
332,1985,,0,,,72
340,1985,,0,,,72
344,1985,,0,,,72
348,1985,,0,,,72
356,1985,,0,,,72
360,1985,,0,,,72
364,1985,,0,,,72
368,1985,,0,,,72
372,1985,,0,,,72
376,1985,,0,,,72
380,1985,,0,,,72
384,1985,,0,,,72
388,1985,,0,,,72
392,1985,,0,,,72
398,1985,,0,,,72
400,1985,,0,,,72
404,1985,,0,,,72
410,1985,,0,,,72
414,1985,,0,,,72
417,1985,,0,,,72
418,1985,,0,,,72
422,1985,,0,,,72
428,1985,,0,,,72
430,1985,,0,,,72
434,1985,,0,,,72
440,1985,,0,,,72
450,1985,,0,,,72
454,1985,,0,,,72
458,1985,,0,,,72
466,1985,,0,,,72
478,1985,,0,,,72
480,1985,,0,,,72
484,1985,,0,,,72
496,1985,,0,,,72
498,1985,,0,,,72
504,1985,,0,,,72
508,1985,,0,,,72
512,1985,,0,,,72
516,1985,,0,,,72
524,1985,,0,,,72
528,1985,,0,,,72
554,1985,,0,,,72
558,1985,,0,,,72
562,1985,,0,,,72
566,1985,,0,,,72
578,1985,,0,,,72
586,1985,,0,,,72
591,1985,,0,,,72
598,1985,,0,,,72
600,1985,,0,,,72
604,1985,,0,,,72
608,1985,,0,,,72
616,1985,,0,,,72
620,1985,,0,,,72
634,1985,,0,,,72
642,1985,,0,,,72
643,1985,,0,,,72
646,1985,,0,,,72
682,1985,,0,,,72
686,1985,,0,,,72
688,1985,,0,,,72
702,1985,,0,,,72
703,1985,,0,,,72
704,1985,,0,,,72
705,1985,,0,,,72
710,1985,,0,,,72
716,1985,,0,,,72
724,1985,,0,,,72
729,1985,,0,,,72
748,1985,,0,,,72
752,1985,,0,,,72
756,1985,,0,,,72
762,1985,,0,,,72
764,1985,,0,,,72
768,1985,,0,,,72
780,1985,,0,,,72
784,1985,,0,,,72
788,1985,,0,,,72
792,1985,,0,,,72
795,1985,,0,,,72
800,1985,,0,,,72
804,1985,,0,,,72
807,1985,,0,,,72
818,1985,,0,,,72
826,1985,,0,,,72
834,1985,,0,,,72
840,1985,,0,,,72
854,1985,,0,,,72
858,1985,,0,,,72
860,1985,,0,,,72
862,1985,,0,,,72
887,1985,,0,,,72
894,1985,,0,,,72
4,1986,,0,,,72
8,1986,,0,,,72
12,1986,,0,,,72
24,1986,,0,,,72
31,1986,,0,,,72
32,1986,,0,,,72
