product_code,x,y,cluster_name
8518,-1.496793491130165,-1.7847219933448102,Electronic and Electrical Goods
8535,-1.1651528764671368,-1.1642150318699134,Metalworking and Electrical Machinery and Parts
9608,-0.6175620860720574,-1.37621369428079,Textile and Home Goods
1519,0.3527594827435716,0.9301673540527218,Agriculture
6805,-0.6953764260966251,-0.1263050482270047,Textile and Home Goods
8202,-1.6389820876377623,-0.1774656399895797,Metalworking and Electrical Machinery and Parts
8607,-0.6144569215848819,0.1914656266704812,Metalworking and Electrical Machinery and Parts
4015,0.6171878202263139,-1.3720867393656304,Textile and Home Goods
604,2.285599209669289,0.67873953330513,Agriculture
701,2.2591412153581087,1.2415419709481967,Agriculture
6306,1.238806661191444,-0.2714799387453781,Textile and Home Goods
713,1.9864849714084527,1.4391142256884462,Agriculture
4806,-1.2480144001821205,-0.3936596808122883,Agriculture
8409,-0.9129111251775806,-0.4540633044232438,Metalworking and Electrical Machinery and Parts
207,1.0466527006171016,1.0149181412630388,Agriculture
1509,2.1951713424380808,1.197321806477328,Agriculture
1512,1.210486057238375,1.5870433395174763,Agriculture
3404,-2.0433789161318776,0.8730408963070015,Industrial Chemicals and Metals
3808,0.8752847887566642,0.4179778834393541,"Construction, Building, and Home Supplies"
1701,1.7184663925568398,1.224737373249226,Agriculture
5402,1.113904101830694,-1.387738555039364,Textile and Home Goods
6301,2.6533088819503927,-1.1978054640771596,Textile Apparel and Accessories
6909,-1.4818366788536863,0.2909759421736302,Industrial Chemicals and Metals
7413,-0.2230571580864135,0.974887081077144,"Construction, Building, and Home Supplies"
9706,-2.503885538123488,-0.0697999657996737,Textile and Home Goods
2303,0.8065746724137686,1.277808791779142,Agriculture
4104,1.8357736932955009,1.381524843922425,Agriculture
8524,-1.9952887547552411,-0.9251442223477684,Electronic and Electrical Goods
8605,-0.7655508816486121,0.4162199441217553,Industrial Chemicals and Metals
7322,0.19572172618239,0.2439587601117465,"Construction, Building, and Home Supplies"
6217,2.779339619490311,-1.604279034206379,Textile Apparel and Accessories
4908,0.0185250669349419,-1.310532701324478,Agriculture
6209,2.917058234061364,-1.311750651403206,Textile Apparel and Accessories
7501,-0.4296178714814695,1.8562032041312932,Industrial Chemicals and Metals
7320,-0.6501269140632329,-0.5266912947474998,Metalworking and Electrical Machinery and Parts
3816,-0.1469251514940155,0.1927881060702492,"Construction, Building, and Home Supplies"
8105,-1.039142189994288,1.784912135536553,Industrial Chemicals and Metals
7616,-0.223711446412159,-0.8292282712554107,Metalworking and Electrical Machinery and Parts
8509,-0.3360212020776605,-1.050544663138197,Electronic and Electrical Goods
2804,-1.5543597378987888,0.940573881293898,Industrial Chemicals and Metals
7102,-0.8165100572926387,1.887541224796725,Industrial Chemicals and Metals
2933,-2.777425496175449,0.7634535044125674,Industrial Chemicals and Metals
6404,2.7140597027675426,-1.5748460101055015,Textile Apparel and Accessories
708,2.097306241000558,1.170210475668139,Agriculture
809,2.3846793568661804,1.4067748307006198,Agriculture
3923,1.2555526644160606,0.0439019511359579,"Construction, Building, and Home Supplies"
8504,-1.3988420722941597,-1.374307484323778,Electronic and Electrical Goods
4016,-0.5894481059198866,-0.7288026435095905,Metalworking and Electrical Machinery and Parts
709,2.389752643622568,1.166276124609527,Agriculture
2836,-0.4598654563374769,0.7723774436393591,Industrial Chemicals and Metals
2707,-1.104915375193225,1.3023382601966258,Minerals
2009,1.9406548342682752,0.862050816078209,Agriculture
9406,0.3837579433825491,-0.116165467326649,"Construction, Building, and Home Supplies"
2613,-0.5753756801900365,1.901592309463552,Minerals
6201,2.9035107428221405,-1.486742441963342,Textile Apparel and Accessories
5701,1.790827514782836,-0.7750282201696703,Textile and Home Goods
2306,1.2118755717337688,1.5229525417701408,Agriculture
1005,1.330411611643454,1.572149391016218,Agriculture
4002,-1.8613664551722395,0.9616546515854588,Industrial Chemicals and Metals
2510,0.1919073163289346,1.360649462500631,Minerals
8541,-1.9185079616542815,-1.967185333792096,Electronic and Electrical Goods
8452,1.4153932911758256,-1.6992538070802472,Textile and Home Goods
7219,-1.8140832881138476,0.6225920761086723,Industrial Chemicals and Metals
9017,-1.7660368356181706,-0.8950831048775745,Industrial Chemicals and Metals
6914,-0.2004816127678603,-1.411220836170418,Textile and Home Goods
4201,-0.2707791867621583,-1.1396807690724728,Agriculture
8102,-1.7823529635268345,1.4708660427770877,Industrial Chemicals and Metals
8459,-1.523931387782646,-0.3544330110414158,Metalworking and Electrical Machinery and Parts
802,2.4268149626362057,1.2271890179137015,Agriculture
2505,0.6996560862752674,0.5707284861886857,Minerals
5408,1.4142593055229635,-1.4234847417208951,Textile and Home Goods
7608,0.086321514837532,-0.5450593338314895,"Construction, Building, and Home Supplies"
2914,-2.4771155907779923,0.9646791358699928,Industrial Chemicals and Metals
2849,-1.3442043205498124,0.7309410974171535,Industrial Chemicals and Metals
4819,1.4432685535935257,0.29655808019058,Agriculture
9032,-1.4336569601195603,-1.1676943903516104,Electronic and Electrical Goods
3402,1.2239587848952027,0.2483366209113273,Industrial Chemicals and Metals
7306,0.5825077880532157,0.1862663879614623,"Construction, Building, and Home Supplies"
6908,0.8402196293807074,-0.626900642686367,Textile and Home Goods
5602,-0.080310555053785,-0.2932760186885617,Textile Apparel and Accessories
6108,2.952423120211228,-1.4276923132471857,Textile Apparel and Accessories
6907,0.8775476250330154,-0.6762963107259738,"Construction, Building, and Home Supplies"
6206,2.9419883737406325,-1.5489304035765985,Textile Apparel and Accessories
6406,2.6748387152162305,-1.4141214656393937,Textile Apparel and Accessories
